,seed,school,site,year,id
922,,,"Charlotte, NC",,1997362
923,,,"Tucson, AZ",,1997363
924,,,"Winston-Salem, NC",,1997364
925,,,"Kansas City, MO",,1997365
926,,,"Memphis, TN",,1997366
927,,,"Salt Lake City, UT",,1997367
928,,,"Providence, RI",,1996368
929,,,"Dallas, TX",,1996369
930,,,"Indianapolis, IN",,1996370
931,,,"Albuquerque, NM",,1996371
932,,,"Richmond, VA",,1996372
933,,,"Milwaukee, WI",,1996373
934,,,"Orlando, FL",,1996374
935,,,"Tempe, AZ",,1996375
936,,,"Richmond, VA",,1996376
937,,,"Milwaukee, WI",,1996377
938,,,"Orlando, FL",,1996378
939,,,"Tempe, AZ",,1996379
940,,,"Providence, RI",,1996380
941,,,"Dallas, TX",,1996381
942,,,"Indianapolis, IN",,1996382
943,,,"Albuquerque, NM",,1996383
944,,,"Baltimore, MD",,1995384
945,,,"Dayton, OH",,1995385
946,,,"Memphis, TN",,1995386
947,,,"Boise, ID",,1995387
948,,,"Albany, NY",,1995388
949,,,"Austin, TX",,1995389
950,,,"Tallahassee, FL",,1995390
951,,,"Salt Lake City, UT",,1995391
952,,,"Albany, NY",,1995392
953,,,"Austin, TX",,1995393
954,,,"Tallahassee, FL",,1995394
955,,,"Salt Lake City, UT",,1995395
956,,,"Baltimore, MD",,1995396
957,,,"Dayton, OH",,1995397
958,,,"Memphis, TN",,1995398
959,,,"Boise, ID",,1995399
960,,,"Landover, MD",,1994400
961,,,"Oklahoma City, OK",,1994401
962,,,"Lexington, KY",,1994402
963,,,"Ogden, UT",,1994403
964,,,"Uniondale, NY",,1994404
965,,,"Park City, KS",,1994405
966,,,"St. Petersburg, FL",,1994406
967,,,"Sacramento, CA",,1994407
968,,,"Uniondale, NY",,1994408
969,,,"Park City, KS",,1994409
970,,,"St. Petersburg, FL",,1994410
971,,,"Sacramento, CA",,1994411
972,,,"Landover, MD",,1994412
973,,,"Oklahoma City, OK",,1994413
974,,,"Lexington, KY",,1994414
975,,,"Ogden, UT",,1994415
976,,,"Winston-Salem, NC",,1993416
977,,,"Indianapolis, IN",,1993417
978,,,"Nashville, TN",,1993418
979,,,"Tucson, AZ",,1993419
980,,,"Syracuse, NY",,1993420
981,,,"Rosemont, IL",,1993421
982,,,"Orlando, FL",,1993422
983,,,"Salt Lake City, UT",,1993423
984,,,"Syracuse, NY",,1993424
985,,,"Rosemont, IL",,1993425
986,,,"Orlando, FL",,1993426
987,,,"Salt Lake City, UT",,1993427
988,,,"Winston-Salem, NC",,1993428
989,,,"Indianapolis, IN",,1993429
990,,,"Nashville, TN",,1993430
991,,,"Tucson, AZ",,1993431
992,,,"Greensboro, NC",,1992432
993,,,"Dayton, OH",,1992433
994,,,"Cincinnati, OH",,1992434
995,,,"Tempe, AZ",,1992435
996,,,"Worcester, MA",,1992436
997,,,"Milwaukee, WI",,1992437
998,,,"Atlanta, GA",,1992438
999,,,"Boise, ID",,1992439
1000,,,"Worcester, MA",,1992440
1001,,,"Milwaukee, WI",,1992441
1002,,,"Atlanta, GA",,1992442
1003,,,"Boise, ID",,1992443
1004,,,"Greensboro, NC",,1992444
1005,,,"Dayton, OH",,1992445
1006,,,"Cincinnati, OH",,1992446
1007,,,"Tempe, AZ",,1992447
1008,,,"Syracuse, NY",,1991448
1009,,,"Dayton, OH",,1991449
1010,,,"Atlanta, GA",,1991450
1011,,,"Tucson, AZ",,1991451
1012,,,"College Park, MD",,1991452
1013,,,"Minneapolis, MN",,1991453
1014,,,"Louisville, KY",,1991454
1015,,,"Salt Lake City, UT",,1991455
1016,,,"College Park, MD",,1991456
1017,,,"Minneapolis, MN",,1991457
1018,,,"Louisville, KY",,1991458
1019,,,"Salt Lake City, UT",,1991459
1020,,,"Syracuse, NY",,1991460
1021,,,"Dayton, OH",,1991461
1022,,,"Atlanta, GA",,1991462
1023,,,"Tucson, AZ",,1991463
1024,,,"Hartford, CT",,1990464
1025,,,"Austin, TX",,1990465
1026,,,"Knoxville, TN",,1990466
1027,,,"Salt Lake City, UT",,1990467
1028,,,"Atlanta, GA",,1990468
1029,,,"Indianapolis, IN",,1990469
1030,,,"Richmond, VA",,1990470
1031,,,"Long Beach, CA",,1990471
1032,,,"Atlanta, GA",,1990472
1033,,,"Indianapolis, IN",,1990473
1034,,,"Richmond, VA",,1990474
1035,,,"Long Beach, CA",,1990475
1036,,,"Hartford, CT",,1990476
1037,,,"Austin, TX",,1990477
1038,,,"Knoxville, TN",,1990478
1039,,,"Salt Lake City, UT",,1990479
1040,,,"Providence, RI",,1989480
1041,,,"Indianapolis, IN",,1989481
1042,,,"Nashville, TN",,1989482
1043,,,"Boise, ID",,1989483
1044,,,"Greensboro, NC",,1989484
1045,,,"Dallas, TX",,1989485
1046,,,"Atlanta, GA",,1989486
1047,,,"Tucson, AZ",,1989487
1048,,,"Greensboro, NC",,1989488
1049,,,"Dallas, TX",,1989489
1050,,,"Atlanta, GA",,1989490
1051,,,"Tucson, AZ",,1989491
1052,,,"Providence, RI",,1989492
1053,,,"Indianapolis, IN",,1989493
1054,,,"Nashville, TN",,1989494
1055,,,"Boise, ID",,1989495
1056,,,"Hartford, CT",,1988496
1057,,,"South Bend, IN",,1988497
1058,,,"Atlanta, GA",,1988498
1059,,,"Los Angeles, CA",,1988499
1060,,,"Chapel Hill, NC",,1988500
1061,,,"Lincoln, NE",,1988501
1062,,,"Cincinnati, OH",,1988502
1063,,,"Salt Lake City, UT",,1988503
1064,,,"Chapel Hill, NC",,1988504
1065,,,"Lincoln, NE",,1988505
1066,,,"Cincinnati, OH",,1988506
1067,,,"Salt Lake City, UT",,1988507
1068,,,"Hartford, CT",,1988508
1069,,,"South Bend, IN",,1988509
1070,,,"Atlanta, GA",,1988510
1071,,,"Los Angeles, CA",,1988511
1072,,,"Charlotte, NC",,1987512
1073,,,"Indianapolis, IN",,1987513
1074,,,"Atlanta, GA",,1987514
1075,,,"Salt Lake City, UT",,1987515
1076,,,"Syracuse, NY",,1987516
1077,,,"Rosemont, IL",,1987517
1078,,,"Birmingham, AL",,1987518
1079,,,"Tucson, AZ",,1987519
1080,,,"Syracuse, NY",,1987520
1081,,,"Rosemont, IL",,1987521
1082,,,"Birmingham, AL",,1987522
1083,,,"Tucson, AZ",,1987523
1084,,,"Charlotte, NC",,1987524
1085,,,"Indianapolis, IN",,1987525
1086,,,"Atlanta, GA",,1987526
1087,,,"Salt Lake City, UT",,1987527
1088,,,"Greensboro, NC",,1986528
1089,,,"Dayton, OH",,1986529
1090,,,"Charlotte, NC",,1986530
1091,,,"Long Beach, CA",,1986531
1092,,,"Syracuse, NY",,1986532
1093,,,"Minneapolis, MN",,1986533
1094,,,"Baton Rouge, LA",,1986534
1095,,,"Ogden, UT",,1986535
1096,,,"Syracuse, NY",,1986536
1097,,,"Minneapolis, MN",,1986537
1098,,,"Baton Rouge, LA",,1986538
1099,,,"Ogden, UT",,1986539
1100,,,"Greensboro, NC",,1986540
1101,,,"Dayton, OH",,1986541
1102,,,"Charlotte, NC",,1986542
1103,,,"Long Beach, CA",,1986543
1104,,,"Hartford, CT",,1985544
1105,,,"Tulsa, OK",,1985545
1106,,,"Dayton, OH",,1985546
1107,,,"Salt Lake City, UT",,1985547
1108,,,"Atlanta, GA",,1985548
1109,,,"Houston, TX",,1985549
1110,,,"South Bend, IN",,1985550
1111,,,"Albuquerque, NM",,1985551
1112,,,"Atlanta, GA",,1985552
1113,,,"Houston, TX",,1985553
1114,,,"South Bend, IN",,1985554
1115,,,"Albuquerque, NM",,1985555
1116,,,"Hartford, CT",,1985556
1117,,,"Tulsa, OK",,1985557
1118,,,"Dayton, OH",,1985558
1119,,,"Salt Lake City, UT",,1985559
