seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference,address,lat,lng,geometry,distance
,,"Charlotte, NC",,1987512,,,,,,,"Charlotte, NC",-80.8431268,35.2270869,POINT (35.2270869 -80.84312679999999),119.27341381584134
,,"Indianapolis, IN",,1987513,,,,,,,"Indianapolis, IN",-86.1583502,39.7683331,POINT (39.7683331 -86.1583502),42.90609003097396
,,"Atlanta, GA",,1987514,,,,,,,"Atlanta, GA",-84.39018490000001,33.749098700000005,POINT (33.7490987 -84.39018490000001),556.3833680945888
,,"Salt Lake City, UT",,1987515,,,,,,,"Salt Lake City, UT",-111.88679750000001,40.759619799999996,POINT (40.7596198 -111.8867975),352.8954102042558
,,"Syracuse, NY",,1987516,,,,,,,"Syracuse, NY",-76.1474244,43.0481221,POINT (43.0481221 -76.14742440000001),1.0685466945199706
,,"Rosemont, IL",,1987517,,,,,,,"Rosemont, IL",-87.87567370000001,41.994133399999996,POINT (41.9941334 -87.87567370000001),800.3535319855133
,,"Birmingham, AL",,1987518,,,,,,,"Birmingham, AL",-86.80243259999999,33.5206824,POINT (33.5206824 -86.80243259999999),49.67209510589464
,,"Tucson, AZ",,1987519,,,,,,,"Tucson, AZ",-110.9748477,32.2228765,POINT (32.2228765 -110.9748477),1341.0598744066467
,,"Syracuse, NY",,1987520,,,,,,,"Syracuse, NY",-76.1474244,43.0481221,POINT (43.0481221 -76.14742440000001),689.2168060222918
,,"Rosemont, IL",,1987521,,,,,,,"Rosemont, IL",-87.87567370000001,41.994133399999996,POINT (41.9941334 -87.87567370000001),14.406784365257337
,,"Birmingham, AL",,1987522,,,,,,,"Birmingham, AL",-86.80243259999999,33.5206824,POINT (33.5206824 -86.80243259999999),418.747535718078
,,"Tucson, AZ",,1987523,,,,,,,"Tucson, AZ",-110.9748477,32.2228765,POINT (32.2228765 -110.9748477),1994.010089352764
,,"Charlotte, NC",,1987524,,,,,,,"Charlotte, NC",-80.8431268,35.2270869,POINT (35.2270869 -80.84312679999999),1038.4740430344882
,,"Indianapolis, IN",,1987525,,,,,,,"Indianapolis, IN",-86.1583502,39.7683331,POINT (39.7683331 -86.1583502),387.02131927452285
